signal_name,unit,data_type,enum_values,min_physical,max_physical,scaling,offset,bit_length,is_multiplexer,multiplexer_signal,message_name,message_id,dbc_source,notes
DAS_steeringHapticRequest,,enum,"{""1"": ""ACTIVE"", ""0"": ""IDLE""}",,,1.0,0.0,1,False,,DAS_steeringControl,0x488,can1-can.dbc,
DAS_steeringAngleRequest,deg,enum,"{""16384"": ""ZERO_ANGLE""}",-1638.35,1638.35,0.1,-1638.35,15,False,,DAS_steeringControl,0x488,can1-can.dbc,
DAS_steeringControlType,,enum,"{""1"": ""ANGLE_CONTROL"", ""3"": ""DISABLED"", ""0"": ""NONE"", ""2"": ""RESERVED""}",,,1.0,0.0,2,False,,DAS_steeringControl,0x488,can1-can.dbc,
DAS_steeringControlCounter,,int,,,,1.0,0.0,4,False,,DAS_steeringControl,0x488,can1-can.dbc,
DAS_steeringControlChecksum,,int,,,,1.0,0.0,8,False,,DAS_steeringControl,0x488,can1-can.dbc,
DAS_setSpeed,kph,int,,0.0,409.4,0.1,0.0,12,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_accState,,enum,"{""15"": ""FAULT_SNA"", ""13"": ""ACC_CANCEL_GENERIC_SILENT"", ""11"": ""APC_SELFPARK_START"", ""10"": ""APC_UNPARK_COMPLETE"", ""9"": ""APC_PAUSE"", ""8"": ""APC_ABORT"", ""7"": ""APC_COMPLETE"", ""6"": ""APC_FORWARD"", ""5"": ""APC_BACKWARD"", ""4"": ""ACC_ON"", ""3"": ""ACC_HOLD"", ""0"": ""ACC_CANCEL_GENERIC""}",,,1.0,0.0,4,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_aebEvent,,enum,"{""3"": ""AEB_SNA"", ""2"": ""AEB_FAULT"", ""1"": ""AEB_ACTIVE"", ""0"": ""AEB_NOT_ACTIVE""}",0.0,3.0,1.0,0.0,2,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_jerkMin,m/s^3,int,,-15.232,0.098,0.03,-15.232,9,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_jerkMax,m/s^3,int,,0.0,15.045,0.059,0.0,8,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_accelMin,m/s^2,int,,-15.0,5.44,0.04,-15.0,9,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_accelMax,m/s^2,int,,-15.0,5.44,0.04,-15.0,9,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_controlCounter,,int,,,,1.0,0.0,3,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_controlChecksum,,int,,,,1.0,0.0,8,False,,DAS_control,0x2b9,can1-can.dbc,
DAS_locMode,,enum,"{""3"": ""DAS_LOC_DRIVERLESS"", ""2"": ""DAS_LOC_RESTRICTED"", ""1"": ""DAS_LOC_NORMAL"", ""0"": ""DAS_LOC_OFF""}",,,1.0,0.0,2,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locState,,enum,"{""7"": ""DAS_LOC_FAULT_SNA"", ""6"": ""DAS_LOC_AEB_ACTIVE"", ""2"": ""DAS_LOC_CANCEL_SILENT"", ""1"": ""DAS_LOC_CANCEL_GENERIC"", ""0"": ""DAS_LOC_HEALTHY""}",,,1.0,0.0,3,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locRequest,,enum,"{""4"": ""DAS_RQ_PARK"", ""3"": ""DAS_RQ_HOLD"", ""2"": ""DAS_RQ_BACKWARD"", ""1"": ""DAS_RQ_FORWARD"", ""0"": ""DAS_RQ_IDLE""}",,,1.0,0.0,3,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locJerkMin,m/s^3,int,,-8.67,0.0,0.034,-8.67,8,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locJerkMax,m/s^3,int,,0.0,8.67,0.034,0.0,8,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locSpeed,kph,int,,0.0,204.7,0.1,0.0,11,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locAccelMin,m/s^2,int,,-15.0,5.44,0.04,-15.0,9,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_locAccelMax,m/s^2,int,,-15.0,5.44,0.04,-15.0,9,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_longControlCounter,,int,,,,1.0,0.0,3,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_longControlChecksum,,int,,,,1.0,0.0,8,False,,DAS_longControl,0x209,can1-can.dbc,
DAS_leftLaneExists,,int,,,,1.0,0.0,1,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_rightLaneExists,,int,,,,1.0,0.0,1,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_virtualLaneWidth,m,int,,2.0,7.0,0.3125,2.0,4,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_virtualLaneViewRange,m,int,,0.0,160.0,1.0,0.0,8,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_virtualLaneC0,m,int,,-3.5,3.5,0.035,-3.5,8,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_virtualLaneC1,rad,int,,-0.2,0.2,0.0016,-0.2,8,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_virtualLaneC2,m-1,int,,-0.0025,0.0025,2e-05,-0.0025,8,False,,DAS_lanes,0x239,can1-can.dbc,
