signal_name,dbc_source,unit,data_type,enum_values,min_physical,max_physical,message_name,message_id,notes
DAS_steeringHapticRequest,can1-can.dbc,,enum,"{""1"": ""ACTIVE"", ""0"": ""IDLE""}",,,DAS_steeringControl,0x488,
DAS_steeringAngleRequest,can1-can.dbc,deg,enum,"{""16384"": ""ZERO_ANGLE""}",-1638.35,1638.35,DAS_steeringControl,0x488,
DAS_steeringControlType,can1-can.dbc,,enum,"{""1"": ""ANGLE_CONTROL"", ""3"": ""DISABLED"", ""0"": ""NONE"", ""2"": ""RESERVED""}",,,DAS_steeringControl,0x488,
DAS_steeringControlCounter,can1-can.dbc,,int,,,,DAS_steeringControl,0x488,
DAS_steeringControlChecksum,can1-can.dbc,,int,,,,DAS_steeringControl,0x488,
DAS_setSpeed,can1-can.dbc,kph,enum,"{""4095"": ""SNA""}",0.0,409.4,DAS_control,0x2b9,
DAS_accState,can1-can.dbc,,enum,"{""15"": ""FAULT_SNA"", ""13"": ""ACC_CANCEL_GENERIC_SILENT"", ""11"": ""APC_SELFPARK_START"", ""10"": ""APC_UNPARK_COMPLETE"", ""9"": ""APC_PAUSE"", ""8"": ""APC_ABORT"", ""7"": ""APC_COMPLETE"", ""6"": ""APC_FORWARD"", ""5"": ""APC_BACKWARD"", ""4"": ""ACC_ON"", ""3"": ""ACC_HOLD"", ""0"": ""ACC_CANCEL_GENERIC""}",,,DAS_control,0x2b9,
DAS_aebEvent,can1-can.dbc,,enum,"{""3"": ""AEB_SNA"", ""2"": ""AEB_FAULT"", ""1"": ""AEB_ACTIVE"", ""0"": ""AEB_NOT_ACTIVE""}",0.0,3.0,DAS_control,0x2b9,
DAS_jerkMin,can1-can.dbc,m/s^3,enum,"{""511"": ""SNA""}",-15.232,0.098,DAS_control,0x2b9,
DAS_jerkMax,can1-can.dbc,m/s^3,enum,"{""255"": ""SNA""}",0.0,15.045,DAS_control,0x2b9,
DAS_accelMin,can1-can.dbc,m/s^2,enum,"{""511"": ""SNA""}",-15.0,5.44,DAS_control,0x2b9,
